State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.49526	3.52692	3.53880	3.52296	3.47151	3.43984	3.30921	3.23400	3.09942	3.01629	2.82233	2.82629	2.75900	2.68774	2.62837	2.63233	2.58087	2.50962	2.48587	2.49774	2.55712
2	1.20964	1.20679	1.20322	1.20036	1.21072	1.21322	1.21536	1.22000	1.23036	1.24286	1.24893	1.24286	1.23929	1.23964	1.24214	1.24179	1.24322	1.25286	1.24857	1.24572	1.24250
3	0.59163	0.59569	0.59802	0.59914	0.60063	0.60087	0.60399	0.61117	0.61653	0.62297	0.63224	0.63873	0.65145	0.65975	0.66791	0.67920	0.69062	0.69925	0.70703	0.71547	0.72107
4	3.46571	3.44904	3.44862	3.44487	3.43361	3.40567	3.38316	3.33938	3.28017	3.22013	3.14966	3.07920	3.01582	2.95411	2.87989	2.78233	2.68893	2.60888	2.53674	2.47712	2.42792
5	1.33696	1.35201	1.35653	1.36255	1.37761	1.43332	1.50107	1.43783	1.49806	1.51010	1.51612	1.51462	1.53720	1.54021	1.58086	1.52666	1.52215	1.48601	1.51311	1.52215	1.51462
6	1.45042	1.44580	1.49199	1.48506	1.54280	1.63056	1.55435	1.64904	1.66521	1.70909	1.67676	1.63749	1.45504	1.50585	1.39499	1.50123	1.56590	1.55666	1.57744	1.51970	1.53587
7	2.48028	2.33220	2.22643	2.36393	2.40095	2.42740	2.49086	2.46441	2.52788	2.62307	2.67066	2.73941	2.54374	2.36393	2.55961	2.67066	2.60720	2.49615	2.46970	2.43797	2.38509
8	4.79062	4.79062	4.56635	4.35455	4.14897	4.03683	3.89978	3.77519	3.78764	3.53846	3.52600	3.23320	3.23943	3.16468	3.15222	3.00271	3.08992	3.41386	3.22074	3.11484	3.25812
9	4.25577	4.17637	3.89053	3.89053	3.69998	3.46178	3.08067	2.92187	2.20728	2.08024	1.98497	2.90599	3.14419	3.22358	3.20770	3.16007	2.76307	2.57252	3.11243	3.50942	3.27122
10	1.60312	1.48787	1.53502	1.55597	1.46167	1.54549	1.73410	1.69742	1.78125	1.75505	1.81268	2.02224	1.97509	1.99605	1.98557	1.92270	1.84935	1.88603	1.88079	1.79697	1.75505
