State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.21575	5.81313	6.37209	7.06030	7.93367	8.89437	9.79220	10.49089	11.06382	11.35028	11.72409	11.90225	12.12583	11.98260	11.69264	11.11273	10.48740	9.55813	8.73717	7.92319	7.20354
2	1.52650	1.48426	1.43635	1.37835	1.29325	1.18766	1.08491	0.97900	0.87625	0.82708	0.81100	0.80974	0.81226	0.84473	0.89673	0.96166	1.02313	1.11012	1.17663	1.24692	1.29451
3	0.70892	0.69119	0.67020	0.64024	0.59848	0.54363	0.47445	0.40652	0.34529	0.31471	0.30648	0.30805	0.31759	0.33084	0.34722	0.36940	0.39837	0.42635	0.45408	0.47906	0.49844
4	1.01085	0.93136	0.83605	0.75436	0.67966	0.61269	0.56485	0.51885	0.47985	0.46402	0.46844	0.47102	0.49199	0.51591	0.54388	0.60827	0.74516	0.95050	1.18012	1.46089	1.70339
5	2.16321	2.24293	2.31336	2.28678	2.24028	2.20041	1.95725	1.60513	1.29686	1.04839	1.04573	0.90754	0.91551	0.98062	1.09091	1.29553	1.61178	2.13796	2.52197	2.64953	2.75052
6	3.61394	3.98695	4.38035	4.77374	4.95515	5.23440	5.60741	5.32409	4.36404	3.27150	2.44191	2.30941	2.30941	2.71912	3.97268	5.83774	7.69465	8.34488	8.23073	7.67019	7.08520
7	4.69531	5.31140	6.40355	7.49570	9.24127	10.89350	12.18635	13.55387	13.28317	8.06978	3.84586	4.46662	5.60077	8.36382	13.12448	16.47094	16.30292	14.15595	12.22835	10.54345	8.96124
8	5.64094	6.77903	8.04907	10.65512	14.30579	19.39143	26.59381	34.42296	42.07617	42.64246	29.69468	36.91905	47.12883	53.47901	48.66277	38.13411	28.04528	20.66697	15.42188	11.42484	8.62086
9	4.03622	4.14833	5.28352	6.29257	8.47886	11.26777	16.01873	24.83394	40.19398	74.71203	128.96269	112.04702	77.89335	43.47340	24.11919	14.89756	9.37579	6.79710	4.63884	3.27943	2.80293
10	1.72462	1.81709	1.67376	1.59978	1.55354	1.50731	1.29462	1.15591	1.29000	1.90956	1.58591	0.83226	0.69355	0.73978	0.66118	0.81376	0.92473	1.03107	1.09580	1.11430	1.20215
