State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.88335	27.81044	4.26734	1.16500	2.82263	11.72445	9.66913	0.66746
2	9.79054	0.66281	1.08130	0.94663	1.24906	0.81103	1.19151	1.01920
3	74.99348	0.14693	0.53020	0.84132	0.63231	0.30649	0.49203	1.13253
4	8.38614	0.51869	3.77876	2.18794	3.14874	0.46845	0.76866	0.21978
5	2.32244	0.33466	1.23919	1.36400	1.51628	1.04576	1.74713	0.45225
6	1.51397	1.24828	1.47786	1.38580	1.67693	2.44198	4.67678	0.46719
7	0.66118	1.95629	2.17544	1.51425	2.67094	3.84598	8.80529	0.23981
8	0.56129	41.57142	6.23187	1.63956	3.52637	29.69010	22.95536	0.24812
9	0.22019	114.58165	14.39029	1.68762	1.98517	128.96667	25.97667	0.19661
10	0.66743	1.57593	1.45744	1.05184	1.81287	1.58596	1.32440	0.83522
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
